from to freq prob
0 1 49 0.628205
0 2 28 0.358974
0 7 1 0.012821
1 2 36 0.413793
1 3 26 0.298851
1 4 19 0.218391
1 7 3 0.034483
1 8 3 0.034483
2 1 30 0.365854
2 3 25 0.304878
2 4 9 0.109756
2 6 8 0.097561
2 7 7 0.085366
2 8 2 0.024390
2 9 1 0.012195
3 2 14 0.181818
3 4 29 0.376623
3 5 11 0.142857
3 6 23 0.298701
4 3 27 0.482143
4 5 21 0.375000
4 6 8 0.142857
5 6 32 0.561404
5 7 10 0.175439
5 8 10 0.175439
5 9 5 0.087719
6 3 1 0.012658
6 5 25 0.316456
6 7 30 0.379747
6 8 17 0.215190
6 9 6 0.075949
7 2 2 0.024096
7 6 6 0.072289
7 8 34 0.409639
7 9 9 0.108434
7 10 32 0.385542
8 1 1 0.015152
8 7 2 0.030303
8 9 63 0.954545
9 1 6 0.072289
9 7 30 0.361446
9 10 47 0.566265
